region,population
alabama,"4,887,871"
alaska,"737,438"
arizona,"7,171,646"
arkansas,"3,013,825"
california,"39,557,045"
colorado,"5,695,564"
connecticut,"3,572,665"
delaware,"967,171"
district of columbia,"702,455"
florida,"21,299,325"
georgia,"10,519,475"
hawaii,"1,420,491"
idaho,"1,754,208"
illinois,"12,741,080"
indiana,"6,691,878"
iowa,"3,156,145"
kansas,"2,911,505"
kentucky,"4,468,402"
louisiana,"4,659,978"
maine,"1,338,404"
maryland,"6,042,718"
massachusetts,"6,902,149"
michigan,"9,995,915"
minnesota,"5,611,179"
mississippi,"2,986,530"
missouri,"6,126,452"
montana,"1,062,305"
nebraska,"1,929,268"
nevada,"3,034,392"
new hampshire,"1,356,458"
new jersey,"8,908,520"
new mexico,"2,095,428"
new york,"19,542,209"
north carolina,"10,383,620"
north dakota,"760,077"
ohio,"11,689,442"
oklahoma,"3,943,079"
oregon,"4,190,713"
pennsylvania,"12,807,060"
rhode island,"1,057,315"
south carolina,"5,084,127"
south dakota,"882,235"
tennessee,"6,770,010"
texas,"28,701,845"
utah,"3,161,105"
vermont,"626,299"
virginia,"8,517,685"
washington,"7,535,591"
west virginia,"1,805,832"
wisconsin,"5,813,568"
wyoming,"577,737"
